"Status","Name","Duration in ms","Description"
"passed","testcase.signup.test_signup.TestSignup#test_signup","14","测试用户名为中文"
"passed","testcase.login.test_login.TestLogin#test_login","13","测试用户名为空"
"skipped","testcase.shuangchuanglogin.test_login2.TestLogin#test_login","0",""
"failed","testcase.login.test_login.TestLogin#test_login","12","测试密码长度超过限制"
"passed","testcase.signup.test_signup.TestSignup#test_signup","12","测试用户名为空"
"passed","testcase.signup.test_signup.TestSignup#test_signup","11","测试姓名为空"
"skipped","testcase.login.test_login1.TestLogin1#test_login1","0",""
"passed","testcase.login.test_login.TestLogin#test_login","12","测试用户名和密码均为空"
"passed","testcase.login.test_login.TestLogin#test_login","11","测试用户名为特殊字符"
"passed","testcase.signup.test_signup.TestSignup#test_signup","20","测试成功注册"
"passed","testcase.login.test_login.TestLogin#test_login","12","测试密码为无效最大边界值"
"passed","testcase.signup.test_signup.TestSignup#test_signup","11","测试参数全为空"
"skipped","testcase.shuangchuanglogin.test_login2.TestLogin#test_login","0",""
"passed","testcase.signup.test_signup.TestSignup#test_signup","18","测试用户名为特殊字符"
"passed","testcase.signup.test_signup.TestSignup#test_signup","17","测试确认密码为空"
"failed","testcase.erxing_Love_Letter.test_get_bullet_screen_content.TesttestBulletScreenContent#test_get_bullet_screen_content","235","测试一下"
"passed","testcase.login.test_login.TestLogin#test_login","11","测试用户名为数字"
"passed","testcase.login.test_login.TestLogin#test_login","12","测试密码为空"
"failed","testcase.login.test_login.TestLogin#test_login","13","测试密码错误"
"passed","testcase.signup.test_signup.TestSignup#test_signup","15","测试密码为空"
"passed","testcase.signup.test_signup.TestSignup#test_signup","11","测试两个密码不一致"
"skipped","testcase.shuangchuanglogin.test_login2.TestLogin#test_login","0",""
"passed","testcase.signup.test_signup.TestSignup#test_signup","18","测试用户名为特殊字符"
"skipped","testcase.shuangchuanglogin.test_login2.TestLogin#test_login","0",""
"passed","testcase.login.test_login.TestLogin#test_login","12","测试用户名和密码均错误"
"passed","testcase.login.test_login.TestLogin#test_login","18","测试用户名错误"
"passed","testcase.signup.test_signup.TestSignup#test_signup","14","测试用户重复注册"
"passed","testcase.login.test_login.TestLogin#test_login","21","测试成功登录"
"passed","testcase.login.test_login.TestLogin#test_login","13","测试用户名为中文"
